,RAdeg,DEdeg,Z,LOGMSTAR,LOGMSTARERR,LOGSFRSED,LOGSFRSEDERR
67,221.08508,17.780092,0.0299,9.977,0.031,-0.499,0.226
69,180.97375,25.433832,0.0108,9.229,0.02,-0.247,0.018
70,201.13837,32.613316,0.0409,10.571,0.046,0.244,0.312
71,127.39719,19.48368,0.0561,10.654,0.027,0.288,0.032
72,155.35268,25.462381,0.0208,9.715,0.007,-3.485,0.428
73,254.00496,25.826004,0.0465,10.573,0.03,-0.145,0.397
74,180.70782,27.93343,0.1353,11.29,0.022,-1.159,0.722
75,176.26874,20.607601,0.02,9.454,0.039,-1.276,0.225
76,164.95273,42.782944,0.0568,10.487,0.022,-1.122,0.932
77,177.13107,17.376621,0.0681,10.834,0.028,0.274,0.024
78,323.35364,-0.267484,0.0864,10.612,0.003,-0.069,0.002
79,141.78076,42.571465,0.0277,10.497,0.007,0.042,0.019
80,143.32104,34.626244,0.0277,10.098,0.039,-0.268,0.198
82,250.64569,13.836711,0.0752,11.018,0.026,0.693,0.143
83,254.89119,39.01672,0.0345,10.14,0.024,-0.512,0.174
84,146.76932,32.486687,0.0781,11.232,0.019,0.957,0.017
85,118.79348,14.370346,0.0448,10.5,0.028,0.434,0.008
86,199.54195,-1.243647,0.0192,10.644,0.027,0.167,0.053
87,158.88362,37.64958,0.0692,11.235,0.007,0.562,0.018
88,197.9909,14.566458,0.0267,10.11,0.042,-0.146,0.197
89,247.09792,23.498604,0.0857,10.898,0.036,0.609,0.147
90,186.27986,-1.768937,0.0649,10.776,0.027,0.486,0.054
91,188.52284,38.667427,0.0208,9.338,0.035,-0.218,0.005
92,203.60614,-3.530866,0.1189,10.807,0.044,0.619,0.204
93,206.30045,55.584164,0.0682,10.644,0.032,0.214,0.244
94,161.36221,21.814957,0.0193,9.724,0.033,-0.597,0.134
95,135.07346,20.123579,0.0703,10.878,0.012,0.092,0.125
96,219.59177,27.336304,0.0932,11.413,0.025,0.896,0.082
97,242.62335,19.954245,0.0264,10.598,0.016,0.275,0.046
98,134.94643,13.317612,0.0301,9.308,0.058,-0.441,0.106
99,137.77174,20.069843,0.0258,10.119,0.028,-0.132,0.039
100,121.17772,35.400547,0.0291,10.424,0.011,-0.304,0.018
101,246.75175,27.92995,0.1316,11.494,0.039,-0.825,0.729
102,198.46046,-2.704574,0.146,11.432,0.03,-0.657,0.853
103,194.94727,31.33346,0.0557,10.547,0.018,-0.033,0.171
104,138.81073,22.646084,0.0282,10.446,0.028,-0.02,0.194
105,317.32974,-6.833587,0.0521,10.52,0.029,-0.718,0.38
106,17.274857,14.755782,0.0385,10.483,0.017,-0.225,0.02
107,135.68272,25.421165,0.0202,10.368,0.015,-0.043,0.016
108,184.93376,29.580423,0.0646,10.813,0.013,0.159,0.042
109,221.7727,24.573195,0.0362,10.302,0.04,0.002,0.2
110,205.92151,54.95224,0.0659,10.996,0.021,0.634,0.109
111,175.78555,24.004503,0.0227,9.762,0.037,-0.4,0.093
112,148.67152,39.481647,0.0479,10.597,0.035,-0.222,0.218
113,188.13486,43.31728,0.0707,10.898,0.029,0.507,0.154
114,175.96674,16.903479,0.0757,11.224,0.01,0.218,0.039
115,181.95395,13.385305,0.0579,10.453,0.056,0.347,0.096
116,240.64674,13.94177,0.0405,10.708,0.06,0.713,0.443
